"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant9","Ant26","Ant30","Ant60","Ant158","Ant191","Ant196","Ant252","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant242","Ant243","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant475","Ant482","Ant560","Ant564"
"Ant4",0,8,2,0,7,2,3,2,0,2,0,13,3,0,1,0,0,3,0,1,2,0,14,8,1,0,0,2,19,7,2,0,18,1,0,10,0,16,1,13,6,7,0
"Ant260",8,0,7,0,6,9,5,0,0,3,1,11,30,0,6,0,0,32,0,0,6,0,17,1,0,4,0,16,3,5,1,0,27,0,0,7,0,23,5,1,19,10,0
"Ant52",2,7,0,4,1,25,11,1,9,1,0,15,14,0,14,0,0,16,0,15,24,8,10,0,0,11,0,27,20,34,3,0,8,3,0,0,0,5,26,4,5,0,0
"Ant540",0,0,4,0,0,0,4,2,1,6,5,1,0,0,0,5,5,0,4,12,0,8,1,0,12,5,1,0,1,1,16,20,1,2,4,0,9,1,0,2,0,0,30
"Ant6",7,6,1,0,0,0,0,0,0,0,0,12,2,0,4,0,0,10,0,0,0,0,0,11,0,0,0,3,0,0,0,0,8,0,0,50,0,11,0,6,3,19,0
"Ant9",2,9,25,0,0,0,5,6,14,8,1,11,5,0,1,0,1,3,1,10,18,5,8,0,1,14,0,2,4,8,3,0,4,0,0,6,0,14,18,1,8,5,2
"Ant26",3,5,11,4,0,5,0,2,4,7,6,5,7,0,2,0,2,4,4,5,2,4,1,0,0,18,9,5,2,12,1,1,11,2,0,1,0,0,1,3,5,0,0
"Ant30",2,0,1,2,0,6,2,0,12,19,10,1,0,0,0,4,1,0,0,16,2,19,3,0,12,6,2,0,2,9,12,2,5,2,10,2,1,2,3,1,3,1,2
"Ant60",0,0,9,1,0,14,4,12,0,4,9,6,8,0,0,4,1,1,6,24,10,16,12,0,0,11,2,1,3,6,6,4,11,0,8,0,0,9,7,11,3,2,0
"Ant158",2,3,1,6,0,8,7,19,4,0,5,0,2,0,0,1,7,1,6,11,6,11,2,0,1,2,0,0,1,1,5,0,4,4,5,0,0,0,0,1,3,0,1
"Ant191",0,1,0,5,0,1,6,10,9,5,0,0,0,0,0,4,5,0,4,9,0,9,6,0,5,5,4,2,0,7,7,4,4,8,3,0,0,0,1,1,2,0,2
"Ant196",13,11,15,1,12,11,5,1,6,0,0,0,28,0,6,0,5,9,0,2,14,0,7,7,0,3,0,19,10,1,0,0,14,0,0,12,0,22,6,3,25,3,0
"Ant252",3,30,14,0,2,5,7,0,8,2,0,28,0,0,11,1,0,24,1,0,4,0,8,0,1,3,2,12,7,6,0,0,20,0,0,3,0,4,5,3,15,9,0
"Ant518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant0",1,6,14,0,4,1,2,0,0,0,0,6,11,0,0,0,0,1,0,1,4,0,3,3,0,0,0,3,3,7,0,0,2,0,0,10,0,1,1,0,7,5,0
"Ant13",0,0,0,5,0,0,0,4,4,1,4,0,1,0,0,0,6,0,13,6,0,11,3,0,0,1,16,1,0,2,3,14,4,6,1,0,0,0,0,1,0,0,8
"Ant23",0,0,0,5,0,1,2,1,1,7,5,5,0,0,0,6,0,0,8,11,1,6,0,0,0,4,12,0,0,3,15,5,3,21,6,0,6,12,3,1,2,0,4
"Ant27",3,32,16,0,10,3,4,0,1,1,0,9,24,0,1,0,0,0,0,2,13,0,5,6,0,2,0,11,1,1,0,0,20,0,1,12,0,20,5,2,19,20,0
"Ant43",0,0,0,4,0,1,4,0,6,6,4,0,1,0,0,13,8,0,0,4,0,25,0,0,12,3,2,0,1,3,2,8,3,3,2,0,30,0,0,0,0,0,0
"Ant97",1,0,15,12,0,10,5,16,24,11,9,2,0,2,1,6,11,2,4,0,3,37,9,0,5,16,2,4,10,30,26,9,15,11,6,0,1,1,1,2,3,0,2
"Ant109",2,6,24,0,0,18,2,2,10,6,0,14,4,0,4,0,1,13,0,3,0,1,15,0,0,6,0,8,5,0,1,0,4,0,0,1,0,4,15,0,3,0,0
"Ant115",0,0,8,8,0,5,4,19,16,11,9,0,0,0,0,11,6,0,25,37,1,0,8,0,4,13,19,0,4,18,34,6,6,15,14,0,3,5,11,3,4,0,0
"Ant117",14,17,10,1,0,8,1,3,12,2,6,7,8,0,3,3,0,5,0,9,15,8,0,3,0,4,0,10,4,19,2,0,6,0,1,6,0,5,6,5,8,6,0
"Ant124",8,1,0,0,11,0,0,0,0,0,0,7,0,0,3,0,0,6,0,0,0,0,3,0,0,0,0,1,0,0,0,0,7,0,0,10,0,10,0,14,0,21,0
"Ant137",1,0,0,12,0,1,0,12,0,1,5,0,1,0,0,0,0,0,12,5,0,4,0,0,0,0,0,0,0,0,2,6,0,0,1,0,0,0,0,0,0,0,29
"Ant159",0,4,11,5,0,14,18,6,11,2,5,3,3,0,0,1,4,2,3,16,6,13,4,0,0,0,0,10,13,35,12,1,14,1,0,1,0,2,10,2,5,4,0
"Ant178",0,0,0,1,0,0,9,2,2,0,4,0,2,0,0,16,12,0,2,2,0,19,0,0,0,0,0,0,0,2,15,11,6,5,2,0,0,0,0,0,0,0,0
"Ant186",2,16,27,0,3,2,5,0,1,0,2,19,12,0,3,1,0,11,0,4,8,0,10,1,0,10,0,0,3,5,0,0,17,0,0,12,0,15,3,3,27,2,0
"Ant190",19,3,20,1,0,4,2,2,3,1,0,10,7,0,3,0,0,1,1,10,5,4,4,0,0,13,0,3,0,3,4,0,3,0,0,4,0,2,9,1,2,0,0
"Ant215",7,5,34,1,0,8,12,9,6,1,7,1,6,0,7,2,3,1,3,30,0,18,19,0,0,35,2,5,3,0,4,6,14,3,0,4,0,0,15,10,8,1,2
"Ant219",2,1,3,16,0,3,1,12,6,5,7,0,0,0,0,3,15,0,2,26,1,34,2,0,2,12,15,0,4,4,0,1,7,3,4,0,0,0,1,3,1,0,0
"Ant242",0,0,0,20,0,0,1,2,4,0,4,0,0,0,0,14,5,0,8,9,0,6,0,0,6,1,11,0,0,6,1,0,1,8,0,0,0,0,0,1,0,0,19
"Ant243",18,27,8,1,8,4,11,5,11,4,4,14,20,0,2,4,3,20,3,15,4,6,6,7,0,14,6,17,3,14,7,1,0,6,5,6,1,7,2,6,20,4,1
"Ant289",1,0,3,2,0,0,2,2,0,4,8,0,0,0,0,6,21,0,3,11,0,15,0,0,0,1,5,0,0,3,3,8,6,0,0,2,4,0,0,0,0,0,3
"Ant324",0,0,0,4,0,0,0,10,8,5,3,0,0,0,0,1,6,1,2,6,0,14,1,0,1,0,2,0,0,0,4,0,5,0,0,0,9,0,0,0,4,0,0
"Ant342",10,7,0,0,50,6,1,2,0,0,0,12,3,0,10,0,0,12,0,0,1,0,6,10,0,1,0,12,4,4,0,0,6,2,0,0,0,5,1,1,5,20,0
"Ant347",0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,6,0,30,1,0,3,0,0,0,0,0,0,0,0,0,0,1,4,9,0,0,0,0,0,0,0,8
