"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant501","Ant560","Ant564"
"Ant4",0,6,0,0,6,35,7,7,1,0,0,11,0,0,11,2,0,2,7,0,0,1,0,8,0,4,0,3,11,0,0,0,0,1,0,0,2,0,5,1,1,0,4,0,15,2,0,4,3,4,0,0,11,0
"Ant260",6,0,6,0,17,28,8,8,15,4,5,26,4,2,15,13,3,8,11,3,0,2,3,6,1,13,14,9,15,0,0,0,6,7,6,0,12,0,3,15,0,0,35,0,15,11,11,10,23,12,1,0,7,0
"Ant52",0,6,0,4,1,3,0,2,3,5,18,3,9,5,10,2,22,0,1,11,1,0,3,3,19,13,11,5,6,9,2,1,4,4,19,4,3,2,1,7,5,2,9,0,0,5,20,12,7,2,1,2,0,0
"Ant540",0,0,4,0,0,0,0,0,4,3,9,0,23,1,0,1,3,0,0,8,7,0,31,0,4,3,16,0,0,5,12,22,1,2,2,3,0,2,0,0,4,7,0,6,1,5,5,1,0,0,1,5,0,2
"Ant6",6,17,1,0,0,32,0,12,12,3,0,18,0,2,17,16,1,1,10,0,0,3,0,6,1,3,0,3,5,1,0,1,3,1,3,0,7,1,4,6,0,0,33,0,19,2,1,11,20,2,0,0,7,0
"Ant7",35,28,3,0,32,0,0,9,1,2,4,99,0,0,138,19,1,27,30,3,0,1,0,8,0,0,0,2,18,4,0,3,7,0,2,0,33,0,2,16,0,2,26,0,77,0,1,22,36,21,1,0,4,0
"Ant9",7,8,0,0,0,0,0,1,3,6,4,0,9,7,9,4,2,1,4,1,6,4,13,0,36,11,13,1,4,4,0,4,11,6,1,0,0,6,0,14,0,0,12,0,10,9,16,1,1,7,3,0,0,0
"Ant19",7,8,2,0,12,9,1,0,9,1,1,5,3,1,25,7,0,2,4,0,0,14,2,10,1,11,0,6,5,0,0,0,5,1,2,0,16,0,4,16,0,0,12,0,20,3,4,15,14,8,1,0,8,0
"Ant26",1,15,3,4,12,1,3,9,0,10,2,0,0,5,32,7,1,2,10,0,1,0,4,5,6,8,0,2,21,2,0,2,6,0,9,0,4,4,8,3,0,0,10,0,7,0,0,17,15,36,0,0,0,0
"Ant30",0,4,5,3,3,2,6,1,10,0,0,0,18,4,9,1,4,0,1,7,10,1,4,0,8,13,6,2,0,2,1,11,6,8,5,4,1,4,0,7,7,4,0,1,2,7,5,5,2,8,3,12,0,1
"Ant60",0,5,18,9,0,4,4,1,2,0,0,0,1,5,6,0,22,2,0,6,12,0,5,0,77,5,6,2,3,4,5,5,6,3,8,2,1,4,28,1,7,17,4,0,0,1,4,5,2,2,9,2,0,1
"Ant76",11,26,3,0,18,99,0,5,0,0,0,0,0,0,25,3,0,27,11,0,1,3,0,14,0,2,0,18,4,0,0,0,0,4,2,0,16,0,10,8,0,0,14,0,28,0,0,9,0,1,1,0,31,0
"Ant158",0,4,9,23,0,0,9,3,0,18,1,0,0,4,6,14,2,1,3,4,4,0,16,0,35,8,17,0,1,4,0,6,1,10,7,7,0,7,3,1,8,0,1,11,0,10,7,6,1,0,0,8,0,12
"Ant191",0,2,5,1,2,0,7,1,5,4,5,0,4,0,5,1,3,0,0,7,4,0,12,0,19,3,25,2,2,14,7,1,0,9,2,16,0,18,1,0,9,11,0,9,0,18,7,1,3,2,0,3,0,2
"Ant196",11,15,10,0,17,138,9,25,32,9,6,25,6,5,0,22,5,10,6,0,2,4,1,20,9,10,9,24,19,0,2,5,13,4,13,2,21,9,15,12,2,3,25,5,13,10,24,13,55,13,18,0,17,19
"Ant252",2,13,2,1,16,19,4,7,7,1,0,3,14,1,22,0,0,2,3,2,2,5,1,15,8,1,17,8,19,0,1,2,8,1,11,3,1,0,10,5,2,0,7,0,9,11,1,5,14,9,0,0,7,3
"Ant308",0,3,22,3,1,1,2,0,1,4,22,0,2,3,5,0,0,0,2,9,0,0,0,0,41,3,11,2,3,5,1,3,3,17,4,13,0,1,7,1,5,16,7,0,1,1,6,4,5,3,2,4,0,1
"Ant518",2,8,0,0,1,27,1,2,2,0,2,27,1,0,10,2,0,0,4,0,0,0,0,3,0,2,1,8,1,0,1,0,2,4,1,0,7,0,4,5,0,0,2,0,7,0,0,2,2,3,0,0,15,0
"Ant0",7,11,1,0,10,30,4,4,10,1,0,11,3,0,6,3,2,4,2,2,0,5,1,2,1,3,1,6,5,0,0,0,4,0,3,1,2,1,10,6,0,0,19,0,12,4,3,9,23,15,0,0,8,1
"Ant13",0,3,11,8,0,3,1,0,0,7,6,0,4,7,0,2,9,0,2,0,1,0,9,0,16,6,9,0,4,3,11,6,0,3,5,1,0,1,2,1,10,5,2,1,0,6,5,1,1,1,3,9,0,10
"Ant23",0,0,1,7,0,0,6,0,1,10,12,1,4,4,2,2,0,0,0,1,0,0,1,0,13,10,3,1,0,7,11,0,0,0,4,3,0,2,4,0,1,19,0,1,0,0,6,2,1,0,2,2,0,5
"Ant27",1,2,0,0,3,1,4,14,0,1,0,3,0,0,4,5,0,0,5,0,0,0,0,5,0,1,3,5,3,0,0,0,0,0,0,0,4,0,5,5,0,0,9,0,30,0,0,12,3,0,1,0,16,0
