"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant209","Ant252","Ant308","Ant311","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant263","Ant289","Ant298","Ant324","Ant342","Ant347","Ant356","Ant380","Ant390","Ant394","Ant395","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant530","Ant538","Ant560","Ant564"
"Ant4",0,2,0,1,2,1,5,6,3,0,0,0,0,0,0,9,1,3,2,0,9,1,2,3,8,4,0,0,2,0,3,0,14,5,0,2,0,7,1,0,0,2,3,0,3,9,1,6,0,28,0,0,0,3,0,7,6,1,1,7,1,8,0,2,9,0,6,1,1,4,1,3,3,4,1,3,8,6,0
"Ant260",2,0,7,0,11,33,0,7,6,1,5,7,25,3,0,16,1,14,1,0,6,12,0,6,0,2,2,0,2,0,8,1,11,4,10,1,2,15,7,1,0,5,5,13,5,4,9,30,30,20,0,21,2,7,0,0,1,18,1,0,7,23,1,10,2,4,3,9,8,19,2,6,1,0,0,13,2,2,0
"Ant52",0,7,0,2,7,0,6,1,8,7,0,3,0,7,2,4,2,9,13,1,1,3,3,13,7,8,7,2,0,2,15,4,7,17,0,3,0,8,2,0,0,0,3,1,6,9,10,4,4,5,0,5,0,1,4,11,3,5,1,3,6,5,4,12,2,6,2,9,20,2,12,16,0,2,7,5,3,3,0
"Ant540",1,0,2,0,2,0,1,0,1,6,0,19,0,2,22,0,1,0,6,0,0,1,2,9,1,2,21,1,0,30,2,4,1,1,1,15,9,0,0,0,22,0,3,1,7,0,1,0,0,4,5,0,8,2,12,0,0,0,10,0,3,1,7,5,0,18,5,0,0,1,2,0,0,18,17,0,0,4,14
"Ant6",2,11,7,2,0,1,6,8,2,0,11,0,2,1,0,22,1,5,0,6,3,1,0,6,0,2,2,3,0,0,3,5,15,2,12,0,0,5,10,0,0,1,6,1,0,6,4,3,6,5,1,3,1,3,0,1,0,4,0,0,4,15,0,3,13,0,0,7,18,3,1,5,1,0,4,0,3,11,0
"Ant7",1,33,0,0,1,0,0,2,4,1,11,0,49,1,0,18,0,11,2,1,23,41,0,3,0,0,0,0,1,0,0,0,3,0,8,0,0,2,1,4,0,11,3,6,0,0,1,45,93,24,0,23,0,30,0,2,0,34,0,0,0,10,0,1,3,0,0,9,20,9,0,4,0,1,1,16,1,0,0
"Ant9",5,0,6,1,6,0,0,5,2,9,0,22,0,1,1,1,0,4,11,0,0,0,8,6,1,0,1,1,1,2,5,23,1,9,0,3,6,8,1,0,3,0,1,1,4,0,13,3,4,2,7,1,12,3,2,3,2,2,3,19,4,5,3,6,2,9,1,2,2,1,8,1,7,4,7,0,1,4,1
"Ant19",6,7,1,0,8,2,5,0,5,1,2,3,6,6,0,7,0,14,4,2,0,0,0,5,4,0,1,4,2,3,4,4,1,2,3,0,0,2,1,0,1,0,3,3,1,1,1,4,3,13,2,2,1,5,1,0,0,6,2,5,10,21,5,3,7,4,2,3,12,12,2,5,2,2,2,1,5,4,0
"Ant26",3,6,8,1,2,4,2,5,0,0,10,0,0,3,3,13,3,3,1,4,1,4,4,4,1,0,2,1,7,2,8,1,6,4,2,1,1,6,7,0,2,2,5,4,2,0,3,7,7,30,1,8,1,4,0,3,0,4,0,0,0,0,2,3,2,0,0,3,15,5,0,6,0,0,3,3,7,2,0
"Ant30",0,1,7,6,0,1,9,1,0,0,1,14,0,9,4,2,3,6,6,0,0,0,23,8,4,2,4,4,0,2,0,0,1,14,5,8,0,0,1,0,0,0,0,0,1,7,4,0,1,2,4,1,1,0,5,3,1,1,2,13,2,0,8,1,1,26,21,0,0,0,15,0,2,11,18,0,0,0,7
