"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant501","Ant560","Ant564"
"Ant4",0,4,0,0,3,35,0,5,0,0,0,7,0,0,15,3,0,0,3,0,0,0,0,11,0,0,0,3,2,0,0,0,0,0,0,0,4,0,1,2,0,0,14,0,33,0,0,7,0,0,0,0,15,0
"Ant260",4,0,3,2,15,23,15,9,3,2,0,14,0,1,22,6,4,0,14,1,2,27,0,12,1,1,1,14,13,0,0,0,10,5,3,0,15,1,9,8,0,2,33,0,53,0,1,26,14,12,3,1,8,0
"Ant52",0,3,0,5,2,6,4,1,10,29,5,2,1,10,3,0,18,0,3,14,0,11,1,2,30,29,9,8,7,5,8,1,1,9,36,4,0,0,8,3,9,5,1,2,3,1,3,9,4,4,2,2,0,1
"Ant540",0,2,5,0,2,0,3,0,0,1,1,1,24,8,0,0,1,1,0,14,8,0,11,0,23,4,20,4,0,26,3,4,0,1,6,12,0,14,5,1,18,4,1,4,0,3,2,2,1,0,0,10,0,5
"Ant6",3,15,2,2,0,32,0,2,8,1,3,16,0,0,27,13,3,0,6,0,0,7,0,7,0,3,6,8,8,0,0,0,5,1,2,0,6,0,12,16,0,0,40,0,27,6,2,21,3,3,3,0,5,0
"Ant7",35,23,6,0,32,0,0,25,0,2,0,59,0,0,38,13,1,0,20,0,0,32,0,28,0,2,1,7,11,0,0,0,10,0,29,0,30,0,12,56,0,0,46,0,204,2,0,95,0,0,5,0,7,0
"Ant9",0,15,4,3,0,0,0,0,2,4,6,3,18,31,13,1,11,0,3,1,0,4,2,0,6,12,14,5,8,1,0,0,1,8,6,1,0,2,1,4,6,6,6,4,0,9,6,4,16,10,3,1,0,0
"Ant19",5,9,1,0,2,25,0,0,1,1,0,1,0,1,15,4,0,0,1,0,0,9,0,4,1,1,2,3,2,0,0,0,1,0,1,0,9,0,11,17,0,0,13,0,32,0,5,9,2,4,2,0,8,0
"Ant26",0,3,10,0,8,0,2,1,0,5,1,7,2,0,7,5,4,0,5,0,0,0,0,1,10,3,13,9,10,6,17,5,1,3,4,1,0,3,5,10,0,0,12,1,5,4,1,12,3,4,0,2,0,1
"Ant30",0,2,29,1,1,2,4,1,5,0,8,1,10,3,2,1,13,0,0,8,10,0,3,2,25,13,8,3,2,9,23,2,2,4,3,10,1,4,7,2,3,12,1,2,2,4,38,0,2,1,3,4,0,2
"Ant60",0,0,5,1,3,0,6,0,1,8,0,1,4,0,1,2,14,0,0,5,7,0,7,0,26,15,17,5,1,3,3,4,0,2,29,4,2,1,22,0,7,19,1,8,1,2,3,0,3,0,5,8,0,3
"Ant76",7,14,2,1,16,59,3,1,7,1,1,0,2,1,18,18,0,0,14,0,0,14,0,4,0,4,4,4,24,1,0,0,12,16,4,1,14,0,8,8,0,1,29,0,21,2,4,4,15,21,2,1,15,0
"Ant158",0,0,1,24,0,0,18,0,2,10,4,2,0,46,3,0,3,0,2,0,1,3,5,0,7,3,8,3,1,5,6,4,2,1,3,7,0,15,0,1,1,4,14,4,0,30,3,0,1,0,0,5,0,3
"Ant191",0,1,10,8,0,0,31,1,0,3,0,1,46,0,0,1,27,0,2,3,0,0,1,0,12,9,6,1,9,2,6,0,5,0,0,0,0,4,2,0,1,10,0,3,0,1,3,0,0,1,0,0,0,0
"Ant196",15,22,3,0,27,38,13,15,7,2,1,18,3,0,0,18,1,0,33,1,0,6,2,11,1,5,1,16,17,1,2,1,12,20,8,2,13,2,7,20,0,5,27,1,20,0,4,20,20,10,16,0,14,0
"Ant252",3,6,0,0,13,13,1,4,5,1,2,18,0,1,18,0,1,0,11,0,0,3,2,1,1,4,3,4,7,1,0,3,0,4,5,0,8,0,6,5,0,0,14,0,16,0,2,12,4,5,6,0,2,0
"Ant308",0,4,18,1,3,1,11,0,4,13,14,0,3,27,1,1,0,0,1,15,8,0,4,0,30,6,3,5,1,8,8,5,1,2,19,5,1,7,7,1,6,24,0,0,0,8,10,2,4,0,1,10,0,1
"Ant518",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant0",3,14,3,0,6,20,3,1,5,0,0,14,2,2,33,11,1,0,0,0,0,8,0,16,1,4,1,8,6,0,1,0,10,3,8,2,3,0,13,10,0,0,19,0,8,0,3,17,6,3,8,0,2,0
"Ant13",0,1,14,14,0,0,1,0,0,8,5,0,0,3,1,0,15,0,0,0,20,0,16,0,18,3,12,0,0,2,8,0,0,0,22,11,1,4,3,0,14,8,1,1,0,17,3,0,0,0,0,4,0,5
"Ant23",0,2,0,8,0,0,0,0,0,10,7,0,1,0,0,0,8,0,0,20,0,0,1,0,24,3,1,0,4,0,16,0,0,0,14,7,0,22,6,0,3,6,2,2,0,3,3,0,1,0,0,25,0,5
"Ant27",0,27,11,0,7,32,4,9,0,0,0,14,3,0,6,3,0,0,8,0,0,0,0,2,2,1,5,4,9,0,0,1,8,11,7,0,6,0,4,23,0,0,13,0,22,0,2,8,12,9,5,0,11,0
"Ant43",0,0,1,11,0,0,2,0,0,3,7,0,5,1,2,2,4,1,0,16,1,0,0,0,7,2,21,2,2,23,8,4,0,7,0,5,5,36,6,0,2,5,0,29,0,7,2,1,1,0,0,3,0,1
"Ant50",11,12,2,0,7,28,0,4,1,2,0,4,0,0,11,1,0,0,16,0,0,2,0,0,0,4,1,2,5,1,1,0,1,0,7,3,4,0,3,23,0,1,24,0,15,0,2,25,3,0,0,1,17,0
"Ant97",0,1,30,23,0,0,6,1,10,25,26,0,7,12,1,1,30,0,1,18,24,2,7,0,0,6,12,13,5,15,26,15,2,1,10,33,1,15,10,3,13,14,4,6,1,17,7,0,4,2,4,28,0,3
