"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant73","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552","Ant593"
"Ant238",5,36,5,5,3,6,11,69,24,17,5,7,7,2,10,9,1,13,0,1,2,6,1,14,5,49,1,1,5,5,0,7,19,16,0,1,11,0,32,6,6,21,0,4,7,18,42,5,12,11,18,0,10,11,3,13,14,6,10,23,15,0,1,24,9,30,0,2,47,7,20,0,27,11,0
"Ant242",8,4,3,7,2,3,2,2,1,10,3,8,1,0,5,2,12,1,5,2,8,3,0,4,2,9,0,17,1,20,15,6,15,2,0,3,9,1,2,12,0,12,0,0,0,2,10,3,1,0,8,10,0,4,5,1,6,1,0,7,0,1,17,10,10,0,0,5,2,1,17,0,12,1,0
"Ant243",3,1,0,5,3,7,5,2,0,6,9,0,9,0,18,14,13,1,3,0,0,24,1,12,10,17,3,6,2,17,0,6,8,3,1,3,5,0,1,5,0,15,0,5,0,10,5,0,10,0,1,11,4,0,5,5,5,11,0,1,2,0,1,13,8,2,0,0,6,3,16,0,15,7,0
"Ant255",11,2,7,0,2,8,6,1,0,4,9,9,6,0,6,6,6,1,10,7,1,8,7,4,0,5,1,3,4,3,0,1,6,0,0,26,13,0,1,9,0,17,0,3,4,0,0,0,10,0,10,3,5,5,0,0,1,11,0,2,0,0,11,4,7,0,0,7,1,3,13,0,10,1,0
"Ant257",0,1,0,2,17,0,3,13,3,0,6,1,9,2,14,4,0,14,1,0,0,2,0,5,23,7,2,1,6,4,6,2,12,12,18,0,0,2,13,1,23,8,0,8,9,8,2,5,7,12,2,13,1,5,0,0,0,3,14,7,9,1,0,2,0,20,5,7,13,8,6,0,6,6,0
"Ant263",0,0,4,0,3,5,2,5,0,14,1,1,4,2,12,5,1,0,4,0,2,3,7,2,17,5,0,0,0,4,0,4,3,3,3,0,4,0,5,0,0,1,0,1,5,1,3,0,2,1,5,14,6,5,1,0,0,3,0,3,10,0,0,8,0,3,0,3,1,1,4,0,1,2,0
"Ant294",0,0,4,0,4,7,3,0,0,3,6,1,4,0,14,12,15,2,2,9,2,7,14,1,6,32,1,0,3,11,1,3,10,6,2,1,7,0,0,9,21,10,0,5,9,1,11,3,18,0,5,6,1,11,11,3,3,0,1,3,3,0,3,3,2,5,5,1,5,1,4,0,7,2,0
"Ant318",0,0,0,0,1,2,1,9,3,3,1,2,0,4,1,4,1,5,0,0,0,0,0,0,3,3,0,0,11,3,0,3,2,6,0,2,0,0,5,1,0,3,0,0,8,6,7,0,0,8,0,10,0,0,0,14,0,1,0,3,5,0,0,0,3,2,2,2,0,5,3,0,11,6,0
"Ant332",3,6,4,11,11,3,14,6,9,9,5,2,7,0,4,15,2,4,0,0,2,3,6,9,1,12,2,7,8,12,0,9,8,4,1,2,4,0,9,6,1,2,0,1,3,10,7,1,15,1,3,23,7,1,2,7,3,3,3,0,4,1,0,3,9,4,0,4,9,4,15,0,6,6,0
"Ant342",2,0,0,1,9,9,0,5,5,8,16,0,11,13,4,4,3,9,1,0,0,4,6,3,18,4,13,0,12,7,23,5,4,3,6,1,1,6,4,1,17,0,0,8,8,16,5,14,10,1,0,15,0,2,0,9,10,3,5,4,0,10,1,6,0,17,9,9,20,16,0,0,6,1,0
"Ant347",0,0,0,0,21,0,0,0,4,1,1,0,4,61,1,0,0,1,0,0,0,0,1,0,12,2,30,0,9,3,2,0,8,32,12,8,0,32,1,3,78,0,37,54,1,13,0,52,2,14,0,0,1,0,0,1,0,0,0,1,10,0,0,2,0,5,84,1,5,10,1,35,0,0,63
"Ant353",7,1,3,3,0,1,0,0,0,2,2,12,0,0,0,2,5,0,9,1,0,13,0,2,1,11,0,13,2,3,2,5,3,0,0,10,7,0,2,1,0,6,0,0,0,0,0,0,1,0,5,1,17,1,11,0,0,3,0,0,1,0,0,2,20,0,0,2,7,4,1,0,2,0,0
"Ant356",0,3,0,1,6,6,9,3,0,16,5,7,9,3,18,7,21,1,4,0,9,14,15,4,20,25,6,0,6,20,0,5,10,2,20,9,5,0,9,3,7,14,0,8,12,9,0,2,6,3,16,24,10,13,4,2,8,3,0,3,6,2,2,0,12,6,0,18,23,5,4,0,14,2,0
"Ant387",0,6,0,15,1,2,0,0,0,7,1,7,1,0,0,2,5,0,5,0,0,13,1,10,1,2,0,0,1,18,0,10,3,0,0,0,1,1,0,6,0,5,0,0,12,5,0,1,0,0,10,9,10,8,7,0,0,2,3,9,0,0,20,12,0,1,0,4,1,1,3,0,8,6,0
"Ant390",0,0,2,1,35,0,1,11,7,2,8,1,0,21,3,8,0,13,0,0,0,0,2,2,10,5,21,0,13,11,0,2,15,30,4,3,0,7,8,3,18,3,5,20,7,27,2,18,2,13,1,30,0,2,0,20,3,5,2,4,17,5,0,6,1,0,13,6,8,26,4,3,8,7,16
"Ant394",0,0,1,0,21,1,0,1,9,3,0,0,2,96,1,0,0,2,2,1,0,1,18,0,17,1,43,0,19,2,15,2,3,32,9,5,2,41,4,0,47,1,50,35,2,19,0,28,7,21,0,0,0,0,0,5,0,5,2,0,9,84,0,0,0,13,0,14,0,25,1,62,0,3,98
"Ant395",0,2,2,8,16,25,2,2,4,15,10,3,3,6,0,4,12,16,1,0,3,1,1,17,10,2,7,0,5,13,4,1,17,14,23,13,5,1,24,2,11,8,0,19,9,13,24,0,9,4,1,2,5,0,7,7,3,1,2,4,9,1,2,18,4,6,14,0,5,7,18,0,7,4,0
"Ant437",4,0,0,7,3,7,4,8,1,6,6,4,8,0,12,7,2,18,0,2,0,16,0,3,5,7,3,3,3,17,7,1,8,2,5,3,0,0,20,2,19,4,0,2,13,10,4,10,8,7,2,47,2,6,1,13,1,5,0,9,20,5,7,23,1,8,0,5,0,3,17,0,5,8,0
"Ant475",1,2,3,1,24,3,3,3,13,1,2,1,10,47,3,3,1,3,0,1,0,0,7,5,6,0,42,2,9,10,1,0,1,12,13,5,2,2,2,2,8,0,5,26,3,19,8,14,9,14,0,7,1,3,3,8,1,1,5,4,16,10,4,5,1,26,25,7,3,0,0,11,3,4,16
"Ant492",5,7,0,4,0,6,4,0,1,5,0,1,7,0,1,3,6,2,2,0,3,1,0,12,1,2,0,16,1,12,9,5,12,1,0,3,0,0,2,7,4,9,0,0,7,8,5,2,3,1,2,20,17,16,13,6,4,4,3,15,0,1,1,4,3,4,1,18,17,0,0,0,12,3,0
"Ant501",0,0,0,0,0,4,0,0,0,0,0,0,0,46,0,0,0,1,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,8,1,0,0,38,1,0,30,0,28,7,0,2,0,36,0,27,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,3,62,0,0,11,0,0,0,0,187
"Ant527",0,12,4,11,12,2,11,16,0,0,3,9,5,0,4,14,8,12,8,10,5,9,1,11,7,15,0,9,10,20,7,3,3,0,1,6,2,0,7,2,0,22,0,0,12,8,9,1,4,4,1,27,12,15,10,6,1,7,11,6,6,0,2,14,8,8,0,7,5,3,12,0,0,17,0
"Ant552",1,0,0,0,5,7,4,8,3,2,12,0,4,1,6,3,36,2,0,0,1,2,0,6,10,5,0,0,9,8,0,3,12,3,0,1,1,0,9,0,0,3,0,0,3,11,22,3,8,2,0,11,1,7,1,6,2,2,6,6,1,0,0,2,6,7,3,4,8,4,3,0,17,0,0
"Ant593",0,0,0,0,1,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,38,0,0,0,49,0,0,23,0,106,10,0,0,0,31,0,8,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,16,98,0,0,16,0,187,0,0,0
