"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant73","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552","Ant593"
"Ant4",0,10,0,12,0,22,4,1,0,3,3,18,3,3,9,0,1,2,3,5,13,10,11,7,4,14,2,12,0,0,37,14,0,4,4,0,4,0,10,37,10,13,2,5,0,0,0,0,26,0,35,5,1,7,15,0,1,1,0,0,2,2,3,5,0,8,1,0,0,0,2,0,0,0,0
"Ant260",10,0,0,10,0,1,4,0,0,7,6,4,0,2,3,0,0,0,1,13,9,4,0,0,3,9,0,26,0,12,10,31,8,33,16,0,2,0,29,35,5,7,2,4,3,9,0,0,13,0,23,9,12,2,4,5,1,8,0,8,9,3,7,1,0,1,0,4,12,0,12,3,5,0,0
"Ant52",0,0,0,8,0,0,11,14,0,0,3,5,6,4,3,12,3,6,10,3,0,3,2,0,1,22,0,0,1,13,1,5,11,11,1,5,7,0,1,0,4,0,1,1,11,1,29,1,1,0,7,16,7,14,9,0,4,9,3,5,5,1,1,13,4,2,1,10,11,0,15,0,2,10,0
"Ant540",12,10,8,0,1,7,10,7,2,3,1,3,5,0,7,1,4,3,4,3,11,14,3,8,12,3,0,0,0,24,6,12,6,4,0,0,3,0,8,1,12,17,0,2,14,1,7,0,6,1,9,8,1,1,9,0,8,16,1,7,10,3,0,10,8,0,0,3,10,1,9,0,5,3,0
"Ant6",0,0,0,1,0,19,0,6,14,2,2,0,1,4,0,2,6,5,4,0,0,1,4,6,2,4,2,0,9,1,7,0,12,8,5,5,0,16,4,0,7,0,4,17,2,35,21,12,5,21,0,2,2,1,0,12,0,0,3,9,6,7,0,3,1,16,14,11,14,16,3,0,9,3,5
"Ant26",22,1,0,7,19,0,5,3,13,1,18,0,7,18,7,22,5,0,0,1,0,3,23,0,4,13,4,0,3,1,5,8,23,5,1,3,1,10,2,18,23,3,10,17,7,7,8,10,4,6,9,5,3,1,0,10,9,7,2,2,18,9,2,3,0,3,10,0,2,8,5,8,18,4,4
"Ant30",4,4,11,10,0,5,0,12,2,6,1,4,2,0,0,1,10,6,5,6,3,6,1,0,3,10,2,24,3,4,2,4,3,5,0,4,0,0,3,1,9,6,1,1,4,0,7,1,7,1,2,10,14,7,5,5,3,5,1,0,1,0,4,2,9,1,1,2,11,2,3,0,4,0,0
"Ant38",1,0,14,7,6,3,12,0,13,7,0,2,21,3,1,20,4,9,4,0,2,1,6,3,4,11,1,0,6,13,0,13,15,4,2,4,1,4,1,0,5,7,6,0,38,1,43,1,15,6,0,8,1,7,1,4,1,16,6,33,12,1,0,4,10,12,1,0,19,10,20,0,13,16,0
"Ant73",0,0,0,2,14,13,2,13,0,3,8,0,12,12,1,1,3,7,0,0,2,0,0,0,2,3,5,0,9,3,0,1,10,2,3,10,2,14,0,0,9,2,16,4,8,6,3,14,7,13,0,11,0,1,1,20,1,2,1,5,12,13,0,3,4,12,9,8,11,9,6,15,1,13,10
"Ant148",3,7,0,3,2,1,6,7,3,0,0,7,14,0,5,1,4,4,6,11,2,6,4,8,12,2,0,12,10,3,1,3,11,0,1,4,1,2,2,1,4,2,0,0,18,5,7,0,4,0,0,16,14,4,6,0,1,5,0,1,0,0,1,10,1,2,0,3,4,0,14,0,3,0,0
