"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant73","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552","Ant593"
"Ant4",0,5,16,10,0,0,10,3,2,6,0,2,0,0,0,0,0,0,11,14,0,2,5,0,1,16,0,47,0,14,8,13,12,1,7,0,0,0,1,11,2,8,0,1,1,0,0,0,1,0,2,0,30,0,0,0,0,1,0,0,0,0,12,0,8,1,1,4,6,3,2,0,0,4,0
"Ant260",5,0,0,0,0,0,0,0,0,25,0,16,0,0,2,0,0,0,6,0,3,0,0,0,0,10,0,5,0,2,25,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,11,0
"Ant52",16,0,0,14,2,1,1,0,3,6,0,1,0,0,3,0,1,0,2,2,0,7,12,0,9,6,2,44,0,6,5,0,8,0,8,0,0,0,5,7,0,14,0,0,9,2,0,0,8,0,11,1,13,16,3,2,1,2,0,1,0,0,6,2,25,4,0,6,0,0,0,1,0,2,0
"Ant540",10,0,14,0,0,0,4,0,0,0,2,5,9,0,5,1,0,0,4,1,0,8,1,0,3,0,0,56,0,9,0,13,3,0,2,0,12,0,0,12,1,5,0,0,2,0,0,0,16,1,1,14,8,5,2,0,3,4,0,0,1,0,5,11,8,0,0,1,3,1,2,0,5,0,0
"Ant6",0,0,2,0,0,16,0,12,14,0,4,0,1,11,1,2,6,10,1,0,0,1,14,4,20,0,12,0,2,0,1,4,5,34,0,8,0,0,7,0,21,5,26,34,19,14,19,6,2,2,1,3,4,3,0,28,0,2,3,4,22,31,0,5,0,16,30,8,14,15,2,12,3,6,40
"Ant26",0,0,1,0,16,0,1,5,9,7,3,0,1,13,0,3,3,0,0,8,0,2,24,9,12,10,9,0,0,5,2,10,17,10,10,5,0,0,6,15,9,4,5,28,2,12,0,1,6,6,13,0,3,0,9,9,0,4,1,4,9,10,0,20,7,18,12,4,10,8,1,7,3,7,4
"Ant30",10,0,1,4,0,1,0,1,0,0,3,12,4,0,1,0,8,1,2,2,1,0,2,0,0,5,0,0,0,13,1,4,9,0,3,5,2,0,1,3,1,7,0,0,2,0,2,0,4,0,1,7,4,4,0,2,3,1,0,5,7,0,8,8,2,2,0,1,0,0,2,0,7,0,0
"Ant38",3,0,0,0,12,5,1,0,0,0,3,1,6,0,3,9,5,17,0,0,0,1,0,2,0,4,0,0,8,1,0,0,12,3,0,11,1,0,5,1,0,1,0,11,13,3,26,0,1,8,4,24,4,2,2,10,4,0,8,5,0,3,0,13,0,5,3,16,9,14,3,0,3,6,2
"Ant73",2,0,3,0,14,9,0,0,0,4,0,0,0,28,0,0,0,4,0,0,0,0,4,3,11,3,32,0,1,1,10,0,10,33,4,1,0,25,4,1,38,0,17,13,4,17,0,23,2,4,7,0,1,0,0,6,0,0,0,3,1,25,1,2,0,39,55,0,3,17,3,21,0,3,35
"Ant148",6,25,6,0,0,7,0,0,4,0,0,8,6,0,14,0,2,0,2,0,5,0,5,0,0,6,0,11,0,6,29,14,27,0,9,4,0,0,1,4,1,0,3,9,0,2,0,1,0,0,2,0,4,4,0,6,0,4,0,3,1,5,2,0,3,11,0,2,0,2,0,0,0,1,0
