"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant73","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552","Ant593"
"Ant4",0,40,8,7,0,0,0,0,2,0,0,7,0,0,0,9,0,0,1,2,9,0,0,3,1,11,0,35,0,0,0,4,0,2,1,0,0,0,21,0,4,0,0,0,0,0,0,0,0,6,12,0,5,0,0,0,0,0,0,0,0,0,12,7,0,1,2,1,0,0,7,0,0,3,0
"Ant260",40,0,0,5,0,0,1,0,0,0,0,0,0,0,0,11,0,0,1,14,8,0,0,7,0,34,0,7,0,2,4,0,1,0,25,0,0,0,32,0,10,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,25,0,1,0,0
"Ant52",8,0,0,2,0,1,3,1,0,0,2,4,0,0,3,2,15,0,12,12,0,0,0,5,1,11,0,23,0,9,2,5,2,2,2,2,3,0,4,0,0,6,0,0,1,0,3,0,4,0,4,2,8,4,0,0,5,2,0,0,0,0,1,5,0,0,0,0,4,0,2,0,5,3,1
"Ant540",7,5,2,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,1,4,10,14,0,4,0,0,0,8,0,12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,8,5,0,2,0,0,0,0,0,4,0,7,0,0,0,0,0,1,0,0,1,0
"Ant6",0,0,0,0,0,9,0,0,21,2,0,0,5,19,4,3,0,5,0,0,0,0,1,13,21,0,14,0,23,4,2,9,49,13,2,7,0,3,0,8,29,0,23,28,3,21,0,23,3,13,0,1,0,1,0,13,1,1,6,2,17,25,0,0,0,58,24,15,6,28,0,2,0,28,38
"Ant26",0,0,1,0,9,0,3,4,6,3,5,0,12,0,2,7,1,13,0,2,0,6,4,0,0,8,0,0,8,15,2,1,10,13,9,9,0,0,0,5,6,13,0,14,17,7,6,5,17,4,1,4,0,12,7,9,0,5,1,7,6,4,0,8,4,7,13,15,10,5,1,0,9,4,9
"Ant30",0,1,3,0,0,3,0,1,0,4,1,6,3,0,6,1,3,0,6,1,9,2,6,0,0,3,0,0,0,0,4,5,4,0,5,0,8,0,0,3,0,1,0,0,8,0,2,0,5,0,0,3,20,2,6,0,0,9,0,3,0,0,0,3,12,0,0,0,0,0,8,0,7,1,1
"Ant38",0,0,1,0,0,4,1,0,2,3,5,2,6,2,2,7,16,25,0,2,0,0,4,0,0,7,0,0,17,6,2,0,9,6,0,6,5,0,0,10,0,0,0,5,6,2,11,5,2,2,4,11,5,8,1,7,2,0,1,7,7,4,0,2,0,5,3,1,10,4,6,0,2,0,5
"Ant73",2,0,0,0,21,6,0,2,0,1,1,0,0,22,0,1,2,0,0,0,0,0,0,4,12,0,12,0,0,3,9,20,32,39,1,5,0,3,0,0,33,0,11,10,0,18,0,11,10,3,0,2,2,0,0,26,0,0,1,0,4,11,1,4,3,13,26,16,0,8,0,1,0,29,23
"Ant148",0,0,0,0,2,3,4,3,1,0,2,11,3,0,9,21,16,2,7,0,0,1,2,2,2,9,0,5,3,14,2,0,2,1,1,0,19,0,0,1,2,8,0,0,0,2,5,3,11,1,1,18,2,3,1,14,19,0,5,4,0,0,0,5,2,0,0,4,7,1,13,0,8,3,0
