"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant73","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552","Ant593"
"Ant4",0,2,7,7,0,0,3,0,0,1,1,7,2,0,6,0,4,0,0,0,5,3,0,1,0,3,0,58,0,7,0,4,18,0,6,0,12,0,0,0,0,3,1,0,5,1,4,0,0,0,28,0,3,7,10,0,0,0,0,4,0,0,3,0,7,0,0,0,1,0,0,0,0,0,0
"Ant260",2,0,10,2,1,0,0,1,0,3,0,0,0,0,12,1,50,0,14,1,21,9,0,2,24,2,0,32,2,19,0,6,19,3,18,9,7,0,6,0,0,28,1,0,2,1,6,0,5,0,9,5,2,5,2,0,1,1,0,2,0,1,5,2,23,0,0,0,1,4,1,0,18,1,0
"Ant52",7,10,0,3,6,2,2,1,0,0,4,17,1,0,7,0,11,0,1,2,0,0,0,0,2,4,0,50,0,8,0,1,17,3,1,0,1,1,1,0,1,9,1,0,2,1,18,0,0,0,0,5,6,1,0,1,2,7,0,11,0,5,0,0,0,0,3,3,6,2,0,0,0,0,0
"Ant540",7,2,3,0,1,0,3,0,2,2,9,6,4,1,1,7,0,0,13,3,22,2,3,16,0,14,0,0,1,9,3,1,4,0,1,3,20,0,0,4,8,4,2,0,0,0,2,0,1,0,31,1,10,17,2,1,7,4,0,7,2,0,12,2,1,1,0,1,3,1,5,0,4,1,0
"Ant6",0,1,6,1,0,12,0,7,7,5,13,2,1,15,8,7,0,0,1,2,0,0,0,2,12,6,11,0,4,2,4,3,18,12,0,9,0,9,7,0,15,2,3,27,9,11,5,21,1,12,0,3,0,8,2,15,5,1,3,3,8,11,1,5,4,33,11,5,5,20,5,3,2,6,22
"Ant26",0,0,2,0,12,0,0,0,9,3,13,1,23,10,1,0,0,3,0,2,1,0,24,0,2,9,7,0,0,2,8,21,15,15,0,39,0,7,4,11,0,1,4,19,5,7,9,3,12,13,0,5,0,0,4,8,0,10,1,8,5,7,2,1,6,12,18,15,12,12,0,17,0,9,2
"Ant30",3,0,2,3,0,0,0,0,0,0,0,13,21,0,3,13,1,3,4,17,0,12,1,3,2,15,0,0,2,2,1,0,3,3,0,5,4,0,5,11,0,4,0,1,1,0,1,1,26,0,4,3,15,6,10,1,5,18,0,9,3,0,3,13,2,0,1,1,7,0,0,0,0,0,1
"Ant38",0,1,1,0,7,0,0,0,1,0,1,1,4,0,1,3,1,27,0,0,0,0,4,6,1,2,4,0,26,2,0,6,11,10,0,2,3,0,0,0,6,13,0,2,22,17,1,1,5,4,2,44,3,8,0,7,2,2,1,5,6,4,1,12,1,14,1,16,8,1,12,1,5,9,5
"Ant73",0,0,0,2,7,9,0,1,0,4,4,0,1,44,0,0,0,1,0,0,2,0,2,0,6,4,19,0,1,0,1,0,3,8,0,7,0,20,1,3,0,0,14,22,0,6,3,17,6,14,0,0,0,0,1,7,1,1,0,0,0,19,0,0,0,21,49,0,1,2,0,7,1,0,25
"Ant148",1,3,0,2,5,3,0,0,4,0,5,2,14,13,4,1,1,0,9,5,4,0,1,10,12,13,3,0,2,11,9,0,6,0,2,0,10,0,5,20,2,7,4,18,5,7,8,2,9,0,8,1,2,5,11,10,7,2,0,3,0,1,3,6,2,1,0,2,8,1,1,10,1,0,3
"Ant158",1,0,4,9,13,13,0,1,4,5,0,6,6,8,2,4,4,7,1,2,0,1,3,7,5,8,1,0,0,6,0,9,8,5,0,8,3,2,6,0,1,3,1,6,5,6,25,7,5,4,1,6,0,4,1,7,10,9,4,1,3,7,2,5,3,12,2,8,4,2,4,7,3,8,0
"Ant191",7,0,17,6,2,1,13,1,0,2,6,0,1,0,8,20,0,1,19,5,4,14,0,11,3,12,1,20,1,13,6,5,6,2,1,2,3,0,5,3,0,0,0,2,0,1,4,1,7,0,0,2,12,4,6,0,9,5,0,4,0,2,14,4,9,0,0,0,3,0,5,1,14,1,0
"Ant196",2,0,1,4,1,23,21,4,1,14,6,1,0,3,30,2,0,3,3,2,0,3,12,13,8,18,4,0,1,14,10,15,17,3,0,9,3,0,15,10,5,8,0,1,3,1,1,5,1,2,12,13,1,18,15,4,2,19,0,4,9,2,1,18,14,1,6,5,10,1,7,5,9,2,1
"Ant202",0,0,0,1,15,10,0,0,44,13,8,0,3,0,1,0,1,9,7,3,0,0,4,2,11,2,15,0,0,1,10,4,9,21,2,9,2,11,0,19,4,0,36,39,3,24,9,51,4,22,0,4,0,3,0,23,1,4,0,0,1,19,2,1,0,44,40,5,4,3,0,37,0,5,52
"Ant209",6,12,7,1,8,1,3,1,0,4,2,8,30,1,0,2,13,6,2,0,8,2,2,2,1,6,0,36,1,11,0,5,11,1,2,11,8,1,5,0,9,1,0,0,4,3,13,0,4,1,18,1,5,15,6,2,0,9,0,14,1,1,3,0,0,0,0,4,3,2,0,11,12,4,0
"Ant268",0,1,0,7,7,0,13,3,0,1,4,20,2,0,2,0,6,5,1,8,1,5,4,10,4,8,4,0,5,5,0,10,17,11,3,6,12,0,1,2,3,9,0,0,3,6,6,1,2,11,1,27,0,5,7,5,6,3,3,7,5,0,2,8,4,2,0,2,8,4,13,1,16,7,0
"Ant308",4,50,11,0,0,0,1,1,0,1,4,0,0,1,13,6,0,0,7,1,0,15,0,0,19,3,5,20,0,8,0,1,39,1,13,3,1,0,9,3,0,14,2,4,2,0,17,0,1,0,21,2,0,14,3,1,0,3,1,9,0,0,1,0,1,0,3,0,9,3,0,6,3,2,0
"Ant620",0,0,0,0,0,3,3,27,1,0,7,1,3,9,6,5,0,0,2,1,1,0,3,10,1,6,0,0,31,7,0,7,19,14,0,9,2,9,2,0,24,9,0,6,2,24,23,14,6,0,4,21,0,2,15,5,0,6,2,6,10,2,1,7,7,7,5,20,7,4,7,13,5,7,0
"Ant13",0,14,1,13,1,0,4,0,0,9,1,19,3,7,2,1,7,2,0,0,11,12,0,4,3,10,0,14,0,12,4,3,7,2,12,4,3,1,1,9,0,17,0,2,0,1,9,0,2,0,42,6,23,12,11,2,0,6,0,2,0,0,33,3,5,1,0,2,4,1,5,0,12,1,0
"Ant27",0,1,2,3,2,2,17,0,0,5,2,5,2,3,0,8,1,1,0,0,1,1,2,3,5,11,0,2,0,11,9,4,7,0,14,2,15,4,4,1,0,3,0,1,0,1,2,1,15,0,3,2,1,26,6,0,3,12,0,1,0,0,8,1,2,1,0,0,0,1,0,3,8,0,0
"Ant29",5,21,0,22,0,1,0,0,2,4,0,4,0,0,8,1,0,1,11,1,0,3,0,2,0,5,0,42,0,4,4,6,10,2,9,0,8,0,0,17,0,7,7,0,1,0,9,0,5,0,17,0,15,9,3,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0
"Ant32",3,9,0,2,0,0,12,0,0,0,1,14,3,0,2,5,15,0,12,1,3,0,0,3,0,3,1,44,0,9,2,3,9,2,11,0,5,0,1,0,0,29,1,0,1,0,10,0,1,0,2,11,20,0,9,0,7,12,0,0,0,0,16,5,0,0,0,2,2,0,1,0,10,0,0
"Ant42",0,0,0,3,0,24,1,4,2,1,3,0,12,4,2,4,0,3,0,2,0,0,0,0,12,7,3,0,4,2,21,15,10,2,2,16,0,6,4,15,4,2,0,17,3,1,10,21,9,4,3,3,0,0,1,2,1,4,0,6,4,8,3,4,4,6,15,10,10,2,1,13,0,2,0
"Ant43",1,2,0,16,2,0,3,6,0,10,7,11,13,2,2,10,0,10,4,3,2,3,0,0,0,10,0,0,3,13,0,1,23,9,0,1,13,0,8,0,18,13,1,0,7,2,15,4,10,1,14,3,15,22,3,3,2,18,4,3,4,1,4,4,6,3,1,8,4,0,5,3,15,0,7
"Ant44",0,24,2,0,12,2,2,1,6,12,5,3,8,11,1,4,19,1,3,5,0,0,12,0,0,1,1,0,0,24,0,7,11,17,3,9,3,7,0,7,2,5,6,23,5,15,16,10,9,4,0,2,3,4,3,5,2,6,0,2,5,3,0,3,1,15,8,3,9,11,1,9,3,1,0
"Ant50",3,2,4,14,6,9,15,2,4,13,8,12,18,2,6,8,3,6,10,11,5,3,7,10,1,0,6,14,3,22,0,18,13,5,0,26,15,2,12,21,0,15,0,5,4,3,7,0,5,2,8,29,4,2,21,8,20,21,4,10,2,1,12,10,10,4,6,14,12,3,8,18,22,5,4
"Ant55",0,0,0,0,11,7,0,4,19,3,1,1,4,15,0,4,5,0,0,0,0,1,3,0,1,6,0,0,5,3,0,7,4,6,0,0,2,7,0,4,5,6,17,36,0,11,1,19,6,5,0,0,0,0,0,9,0,4,2,4,13,25,2,0,1,18,26,5,2,23,1,34,0,1,7
"Ant91",58,32,50,0,0,0,0,0,0,0,0,20,0,0,36,0,20,0,14,2,42,44,0,0,0,14,0,0,0,35,2,5,71,0,27,0,4,0,2,1,0,19,4,0,1,0,5,0,1,0,35,0,26,2,4,0,0,0,0,28,0,0,0,6,0,0,0,0,3,0,1,0,12,0,0
"Ant97",0,2,0,1,4,0,2,26,1,2,0,1,1,0,1,5,0,31,0,0,0,0,4,3,0,3,5,0,0,5,0,0,10,25,0,1,4,2,3,0,5,1,0,0,6,23,7,8,3,13,0,74,1,9,0,7,1,2,5,0,9,3,0,7,1,27,9,14,2,12,2,8,9,7,12
"Ant100",7,19,8,9,2,2,2,2,0,11,6,13,14,1,11,5,8,7,12,11,4,9,2,13,24,22,3,35,5,0,1,20,16,15,12,6,9,2,7,10,14,16,4,3,11,3,26,0,13,0,13,11,14,28,7,6,17,12,7,17,5,1,7,11,17,1,0,3,13,2,10,11,30,3,2
"Ant113",0,0,0,3,4,8,1,0,1,9,0,6,10,10,0,0,0,0,4,9,4,2,21,0,0,0,0,2,0,1,0,18,7,6,12,6,0,0,6,21,1,0,4,10,15,1,9,0,3,13,0,0,7,0,0,13,0,6,0,18,0,0,0,1,0,3,4,0,0,0,0,0,2,0,0
"Ant117",4,6,1,1,3,21,0,6,0,0,9,5,15,4,5,10,1,7,3,4,6,3,15,1,7,18,7,5,0,20,18,0,14,4,0,9,12,1,7,29,9,6,5,6,8,2,10,2,15,3,3,11,4,17,8,4,4,2,9,12,6,1,3,13,5,4,6,1,9,3,4,7,7,7,0
"Ant137",18,19,17,4,18,15,3,11,3,6,8,6,17,9,11,17,39,19,7,7,10,9,10,23,11,13,4,71,10,16,7,14,0,8,8,15,6,2,36,12,5,23,4,12,19,9,20,6,11,7,6,12,12,22,12,22,5,13,2,10,13,6,5,19,15,14,8,7,22,15,5,16,22,7,4
"Ant139",0,3,3,0,12,15,3,10,8,0,5,2,3,21,1,11,1,14,2,0,2,2,2,9,17,5,6,0,25,15,6,4,8,0,0,14,1,10,6,1,7,4,8,12,13,10,21,15,7,11,0,8,1,1,0,13,3,3,2,4,9,9,0,2,4,26,18,14,9,26,13,8,7,4,8
"Ant142",6,18,1,1,0,0,0,0,0,2,0,1,0,2,2,3,13,0,12,14,9,11,2,0,3,0,0,27,0,12,12,0,8,0,0,0,0,0,0,2,0,3,2,1,3,0,23,0,0,0,0,1,4,3,1,0,0,4,0,26,0,0,6,0,1,0,0,0,0,0,0,0,12,0,1
"Ant149",0,9,0,3,9,39,5,2,7,0,8,2,9,9,11,6,3,9,4,2,0,0,16,1,9,26,0,0,1,6,6,9,15,14,0,0,3,1,11,13,1,5,0,22,18,6,8,5,17,3,1,2,1,9,19,11,2,6,3,8,2,7,1,4,4,12,12,8,4,3,0,37,3,1,0
"Ant153",12,7,1,20,0,0,4,3,0,10,3,3,3,2,8,12,1,2,3,15,8,5,0,13,3,15,2,4,4,9,0,12,6,1,0,3,0,0,1,6,0,13,0,1,0,2,2,0,2,0,5,3,2,8,10,1,7,3,1,3,4,3,14,6,7,2,0,2,1,1,3,0,15,2,0
