"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant73","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552","Ant593"
"Ant4",0,1,10,12,1,17,0,0,0,0,2,5,3,0,3,0,9,0,2,6,3,9,17,0,1,10,0,0,0,0,13,20,10,0,1,0,4,0,2,0,3,6,0,0,11,0,0,1,3,0,9,2,4,13,0,1,1,6,0,4,2,0,2,1,1,1,1,0,1,0,5,0,11,0,0
"Ant260",1,0,1,0,0,1,1,1,0,7,13,7,0,0,13,3,20,1,7,4,0,3,6,5,4,24,0,23,1,0,10,0,7,0,17,0,0,0,10,5,0,13,0,0,0,1,0,0,2,0,7,12,4,9,2,0,6,1,0,0,0,0,0,7,0,0,1,35,4,0,0,0,3,5,0
"Ant52",10,1,0,6,3,7,3,12,0,4,5,0,8,1,15,8,2,9,1,4,0,5,1,3,11,5,1,0,0,5,3,10,9,0,4,5,17,0,4,3,0,3,4,1,7,6,15,1,21,0,21,19,4,5,2,5,0,8,0,7,25,0,3,1,2,0,0,7,5,0,4,0,9,4,0
"Ant540",12,0,6,0,0,2,1,0,0,0,2,12,0,0,1,2,1,0,36,4,3,1,4,0,2,4,0,0,0,0,1,0,6,0,2,1,13,0,0,3,0,0,0,0,1,0,2,0,4,0,11,0,1,11,9,1,3,7,0,4,2,0,11,1,6,0,0,0,1,2,7,0,6,1,0
"Ant6",1,0,3,0,0,0,0,1,17,3,0,0,3,36,1,0,0,3,0,0,2,1,1,2,3,3,29,0,3,0,1,0,1,26,0,1,0,3,0,6,35,1,15,44,3,12,11,10,1,6,3,2,1,0,0,5,2,4,0,0,8,12,1,1,0,20,40,0,4,11,1,18,3,1,46
"Ant26",17,1,7,2,0,0,7,7,0,4,18,6,12,0,10,11,10,10,4,7,1,0,12,4,19,10,0,6,26,17,10,10,33,2,3,6,6,4,0,2,8,9,7,2,26,16,21,6,14,2,7,11,2,8,2,19,3,8,4,13,18,15,6,6,3,13,0,5,15,22,13,0,13,9,2
"Ant30",0,1,3,1,0,7,0,1,0,2,1,8,3,0,1,1,1,1,0,0,1,0,1,4,3,7,0,0,1,9,0,7,7,1,0,1,3,0,3,12,0,4,0,0,8,0,6,0,8,0,5,13,4,5,1,0,2,2,0,1,0,0,2,13,1,0,0,2,5,2,4,0,4,2,0
"Ant38",0,1,12,0,1,7,1,0,0,0,7,1,5,1,4,8,1,20,1,2,0,0,2,3,2,1,0,0,6,6,0,0,8,11,0,7,2,0,9,1,0,2,3,0,12,2,16,0,7,7,3,18,0,0,0,17,2,1,6,4,6,0,0,3,0,19,2,6,5,3,3,0,5,6,0
"Ant73",0,0,0,0,17,0,0,0,0,0,1,0,0,26,0,0,0,6,0,0,0,0,2,0,0,0,42,0,7,1,2,0,3,13,9,8,0,24,0,0,44,0,19,34,0,20,0,13,3,10,2,0,0,0,0,0,0,0,0,0,3,39,0,3,0,17,66,0,0,16,1,34,0,1,81
"Ant148",0,7,4,0,3,4,2,0,0,0,4,0,1,0,0,1,12,1,0,1,0,2,2,0,4,17,0,9,0,18,5,3,8,1,0,0,2,0,7,9,0,1,0,0,1,3,4,0,0,0,2,6,10,3,0,0,8,6,0,2,1,0,0,3,0,0,4,0,4,0,0,0,4,0,1
