"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant73","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552","Ant593"
"Ant4",0,5,6,0,1,0,2,2,0,11,0,9,23,0,0,0,0,0,4,12,34,9,2,1,0,7,0,31,0,10,12,5,8,0,2,0,5,0,0,18,3,2,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,5,0,0,0,0,2,2,0,0,0,0,0,0,2,0,3,0,0
"Ant260",5,0,14,0,1,0,3,5,0,9,4,9,0,1,1,1,9,1,2,2,3,16,0,6,6,12,2,25,0,29,32,29,17,0,10,0,4,2,2,19,7,1,1,1,18,2,24,2,8,1,1,0,7,4,8,4,1,6,1,0,0,0,15,6,1,0,2,0,2,0,2,0,6,1,0
"Ant52",6,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,1,6,7,1,12,1,103,3,11,1,15,8,0,1,0,0,0,0,11,3,0,1,0,1,0,0,0,4,2,0,0,2,9,0,4,2,9,0,3,0,0,3,0,2,0,0,0,1,1,1,0,0,0,0
"Ant540",0,0,1,0,0,1,5,2,2,6,1,2,1,0,12,0,0,1,4,0,0,10,0,3,0,8,0,6,0,2,0,8,4,0,4,1,16,0,2,1,1,1,0,0,2,0,6,0,0,0,11,8,5,0,5,0,9,11,0,0,1,1,19,0,0,0,0,1,1,1,10,0,2,0,0
"Ant6",1,1,0,0,0,20,2,2,2,3,3,0,12,16,2,1,2,0,4,1,5,1,2,8,17,4,16,0,17,3,9,1,3,22,2,6,0,8,7,0,11,0,5,13,8,8,3,15,3,2,3,4,2,5,2,29,2,2,1,1,16,20,0,1,2,18,11,3,1,9,3,2,1,2,2
"Ant26",0,0,1,1,20,0,2,4,8,2,13,1,10,3,1,3,0,1,3,4,0,0,9,1,14,13,15,0,8,1,16,11,5,10,11,7,0,5,3,1,16,4,5,6,9,6,0,16,8,6,18,4,3,20,2,15,3,1,7,7,14,17,0,4,2,14,6,9,3,23,5,0,6,5,0
"Ant30",2,3,0,5,2,2,0,0,0,0,0,5,3,0,13,3,0,0,13,1,0,2,1,2,1,6,1,1,5,3,0,1,2,0,0,4,8,0,1,0,2,14,0,1,0,5,2,0,12,0,12,4,8,4,6,0,14,6,0,2,0,0,2,12,2,0,4,4,7,1,3,0,2,0,0
"Ant38",2,5,0,2,2,4,0,0,2,3,5,2,6,3,6,4,2,15,9,0,0,0,5,3,2,9,1,7,9,3,1,2,10,15,16,4,1,5,6,1,3,4,2,4,6,13,2,4,4,9,3,35,1,1,0,2,3,6,6,3,8,3,2,4,3,7,6,2,13,10,13,0,8,9,0
"Ant73",0,0,0,2,2,8,0,2,0,4,8,0,2,46,1,1,1,2,0,2,1,1,10,0,3,6,14,0,6,0,1,5,8,7,0,2,0,24,3,2,22,5,32,16,3,9,0,19,2,6,3,2,1,20,0,9,0,2,3,1,14,6,0,1,0,11,36,3,1,9,1,30,2,3,47
"Ant148",11,9,0,6,3,2,0,3,4,0,2,7,12,0,9,3,20,0,6,3,3,5,7,8,4,10,5,4,3,13,12,9,5,5,6,0,4,0,7,9,0,7,0,0,0,11,7,3,1,0,0,13,4,5,4,1,2,1,1,6,6,0,0,6,4,3,4,8,11,1,7,0,5,1,0
