"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant73","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552","Ant593"
"Ant4",0,8,5,0,3,0,0,3,0,0,7,2,0,1,0,1,0,0,2,6,7,20,4,2,0,6,0,36,0,11,0,15,4,0,4,0,2,0,0,28,5,10,0,3,0,2,0,0,2,0,12,8,6,16,8,0,3,4,0,0,2,6,12,3,0,0,1,0,4,0,0,2,1,0,0
"Ant260",8,0,19,0,0,2,2,12,0,0,1,15,1,1,0,8,0,0,1,12,10,4,0,3,0,12,0,16,0,1,0,11,12,3,24,0,23,1,7,14,0,6,2,4,5,0,0,0,2,0,22,17,3,6,10,0,0,4,0,0,1,1,12,6,0,0,0,0,1,2,1,2,0,3,0
"Ant52",5,19,0,3,1,5,1,1,0,0,2,8,3,0,27,1,9,7,1,3,10,5,8,2,4,2,1,69,0,6,0,5,6,8,2,0,2,1,0,8,0,1,0,0,7,0,9,0,0,0,5,9,16,0,7,0,2,0,0,20,1,0,1,5,11,2,3,0,1,2,1,0,3,0,0
"Ant540",0,0,3,0,0,0,4,5,0,3,6,11,0,1,38,0,2,1,2,7,2,3,0,4,3,11,0,13,1,20,1,2,6,2,0,1,15,0,3,0,5,10,4,0,3,2,16,1,20,0,0,15,23,1,4,1,8,5,2,28,1,0,5,12,3,1,5,1,4,0,6,0,4,1,0
"Ant6",3,0,1,0,0,3,0,9,9,2,2,1,6,19,0,4,1,1,7,1,0,1,7,7,3,10,10,1,18,0,7,1,8,14,1,3,0,18,1,4,10,1,13,8,11,8,9,6,5,15,0,6,0,0,1,18,0,1,6,3,6,8,0,2,0,13,16,4,7,15,1,0,3,3,0
"Ant26",0,2,5,0,3,0,1,10,1,3,2,0,27,8,4,8,17,12,10,4,0,2,8,10,0,13,8,0,18,7,7,1,18,7,3,4,0,1,1,1,7,4,9,22,3,11,1,4,10,17,0,1,0,0,2,15,4,0,13,1,14,5,1,3,0,7,39,4,6,16,3,0,5,0,0
"Ant30",0,2,1,4,0,1,0,2,0,1,1,16,3,0,9,1,5,0,6,8,8,12,1,1,0,2,0,10,2,6,4,7,4,1,0,1,20,0,0,13,1,11,0,0,4,1,6,0,2,0,0,1,9,0,16,1,1,3,0,9,0,0,9,6,3,2,0,3,0,0,2,0,0,0,0
"Ant38",3,12,1,5,9,10,2,0,5,9,20,2,7,4,2,3,5,8,4,1,3,1,2,7,5,5,12,17,18,12,7,1,8,28,4,17,5,13,8,10,9,0,3,17,24,5,12,5,2,8,0,39,4,5,3,6,3,4,4,3,16,7,3,3,3,18,9,0,21,13,18,0,11,2,2
"Ant73",0,0,0,0,9,1,0,5,0,2,4,0,9,32,0,0,2,7,1,0,0,0,3,0,4,2,29,0,13,4,1,1,10,1,3,2,0,11,0,1,3,0,27,13,3,7,3,15,4,11,0,0,4,0,0,23,2,0,5,1,4,10,0,0,0,12,27,1,2,17,2,16,8,0,31
"Ant148",0,0,0,3,2,3,1,9,2,0,2,2,3,2,0,0,8,4,2,3,2,4,3,7,19,17,2,9,0,9,1,5,18,4,10,1,1,1,9,9,0,6,3,10,2,0,11,1,1,0,2,1,0,10,9,6,4,1,0,2,0,0,0,2,2,6,0,8,5,6,5,0,4,4,0
"Ant158",7,1,2,6,2,2,1,20,4,2,0,5,1,3,0,14,8,6,2,4,2,0,2,1,41,11,0,0,4,10,2,0,21,3,20,4,9,0,2,2,13,1,2,7,5,8,10,15,5,1,4,5,3,15,0,11,3,3,2,3,17,5,0,3,1,3,6,7,2,4,2,1,11,7,0
"Ant191",2,15,8,11,1,0,16,2,0,2,5,0,4,0,12,1,5,0,8,1,46,16,1,2,0,13,0,49,3,8,1,11,6,1,7,1,14,0,4,0,4,9,0,1,3,2,6,2,22,2,31,11,6,4,13,0,8,4,0,18,5,0,5,30,7,0,0,2,5,1,4,1,5,0,0
"Ant196",0,1,3,0,6,27,3,7,9,3,1,4,0,1,9,2,10,3,1,7,0,1,8,2,1,12,3,0,9,8,2,11,8,11,0,8,2,0,4,7,10,7,3,9,5,6,8,0,7,1,0,12,0,7,6,3,12,2,3,7,9,3,0,6,5,2,8,1,14,5,12,0,4,1,0
"Ant202",1,1,0,1,19,8,0,4,32,2,3,0,1,0,0,1,1,4,4,6,0,1,6,1,9,7,48,2,15,3,1,1,7,40,9,4,0,22,2,4,11,1,29,13,7,10,14,20,4,22,0,7,0,2,0,16,6,4,6,1,9,31,0,6,0,33,10,0,6,16,3,5,10,6,11
"Ant209",0,0,27,38,0,4,9,2,0,0,0,12,9,0,0,0,10,1,13,6,7,1,4,15,1,21,1,6,9,10,4,9,4,6,4,2,16,0,2,1,4,80,0,3,1,7,6,1,0,7,0,2,1,0,8,0,4,1,0,6,5,0,1,9,6,3,2,1,2,2,4,0,3,3,0
