"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant73","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552","Ant593"
"Ant4",0,4,9,1,0,1,0,1,0,1,0,4,0,0,3,0,7,0,0,5,2,10,1,3,0,1,1,45,0,13,0,0,2,4,0,1,1,0,2,0,1,0,0,1,0,0,0,1,2,1,17,0,5,1,1,1,0,3,0,0,0,0,2,0,2,0,5,0,0,1,0,0,0,0,0
"Ant260",4,0,13,0,0,2,0,0,1,1,0,2,0,6,0,0,3,0,0,4,0,9,14,0,4,19,3,11,1,23,15,4,15,1,0,0,6,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,23,4,4,1,24,1,1,0,4,1,1,4,0,0,7,0,0,0,0,0,0,0,1
"Ant52",9,13,0,0,0,7,1,0,5,0,0,4,4,0,2,8,4,0,5,3,55,11,13,0,5,2,0,0,0,2,4,5,5,4,1,1,2,1,7,1,0,5,2,0,9,0,2,0,9,0,9,1,4,6,2,4,10,4,0,8,3,0,4,6,0,4,2,0,3,0,6,0,5,3,0
"Ant540",1,0,0,0,0,2,2,0,0,1,0,2,0,0,5,3,1,0,7,5,11,10,2,3,3,5,0,33,0,0,3,7,1,0,18,2,33,0,5,5,1,10,0,0,0,0,0,1,1,0,6,0,2,2,14,2,5,1,2,7,3,0,12,1,9,1,0,0,1,2,1,0,4,2,0
"Ant6",0,0,0,0,0,12,0,4,11,1,3,0,9,28,1,7,3,2,1,0,2,0,3,10,25,6,18,0,11,7,7,3,19,17,1,29,0,5,4,0,45,2,20,25,3,27,26,18,6,11,3,6,0,3,0,4,0,1,2,3,17,18,1,0,0,30,34,11,3,34,5,3,17,13,28
"Ant26",1,2,7,2,12,0,3,3,10,5,3,3,3,11,6,3,17,10,0,6,0,0,14,10,21,7,5,0,5,5,7,19,18,19,14,18,1,0,3,16,12,4,5,10,0,13,15,0,8,3,6,3,0,3,10,5,0,3,0,6,27,6,0,1,0,12,15,5,4,14,1,2,2,23,0
"Ant30",0,0,1,2,0,3,0,1,5,4,8,3,4,0,1,1,16,21,3,2,3,0,3,6,5,1,0,2,2,11,0,6,5,1,14,1,1,0,0,5,3,6,2,0,3,2,0,0,15,0,1,16,1,0,1,1,4,6,0,6,0,0,0,2,0,0,3,6,5,2,4,2,1,0,1
"Ant38",1,0,0,0,4,3,1,0,0,1,5,2,7,3,6,3,12,14,1,5,0,1,11,5,3,10,0,0,7,5,2,3,11,6,1,2,0,0,5,0,1,0,5,1,19,3,7,1,7,1,1,24,0,5,1,17,2,0,6,3,0,3,0,14,0,10,7,3,9,4,4,0,7,5,0
"Ant73",0,1,5,0,11,10,5,0,0,0,0,1,11,23,0,0,7,3,0,8,0,0,3,14,6,0,6,0,10,11,0,2,7,16,11,13,0,9,1,0,32,0,20,9,1,16,4,23,1,9,4,0,1,1,0,1,0,0,0,0,8,20,0,0,1,30,46,7,5,6,1,10,3,2,34
"Ant148",1,1,0,1,1,5,4,1,0,0,8,8,3,7,2,15,7,20,0,5,2,1,9,3,2,4,0,0,6,13,2,5,9,5,10,5,1,0,3,4,5,3,1,5,13,2,1,1,0,0,4,12,4,1,3,8,2,7,0,2,2,1,5,1,0,0,5,5,4,3,1,0,3,2,2
"Ant158",0,0,0,0,3,3,8,5,0,8,0,0,7,5,5,9,4,12,3,3,0,1,1,11,3,1,0,0,9,3,1,0,9,2,0,7,1,0,1,5,6,6,2,2,8,4,22,0,2,0,0,12,2,5,3,16,2,7,0,1,5,0,0,4,0,5,4,16,14,7,8,0,7,6,0
"Ant191",4,2,4,2,0,3,3,2,1,8,0,0,4,0,21,6,9,0,22,3,12,20,6,7,1,10,0,19,2,22,5,3,3,10,2,1,9,0,2,4,0,32,0,0,4,0,1,0,7,2,10,5,5,7,3,3,11,6,1,15,3,1,6,2,9,2,3,1,2,0,10,0,8,2,0
"Ant196",0,0,4,0,9,3,4,7,11,3,7,4,0,4,6,8,2,23,13,6,1,1,7,5,8,9,0,0,13,8,0,2,10,10,1,5,2,1,8,1,10,1,3,1,6,12,9,0,6,3,0,24,10,11,1,14,10,6,3,11,9,2,1,3,0,3,6,0,11,6,14,0,15,12,0
"Ant202",0,6,0,0,28,11,0,3,23,7,5,0,4,0,2,1,2,2,1,0,0,0,1,1,25,2,26,0,6,2,1,0,11,36,1,5,0,4,0,0,26,0,37,26,2,39,5,41,1,20,2,1,0,0,0,3,0,0,3,2,19,41,0,2,0,45,81,0,5,31,2,16,2,12,58
"Ant209",3,0,2,5,1,6,1,6,0,2,5,21,6,2,0,8,8,18,25,6,6,1,9,0,1,16,0,0,7,10,0,0,9,2,0,0,6,0,3,0,0,15,0,2,7,1,0,2,10,2,7,5,0,0,4,0,0,13,1,7,0,0,3,2,8,0,1,6,3,0,4,0,11,1,2
"Ant268",0,0,8,3,7,3,1,3,0,15,9,6,8,1,8,0,3,20,2,6,4,1,10,7,4,13,0,0,8,8,1,3,15,1,1,10,0,0,10,0,1,2,0,2,9,6,19,0,11,2,7,27,2,5,6,8,0,2,7,0,4,2,0,16,0,1,6,2,14,0,2,1,15,5,0
"Ant308",7,3,4,1,3,17,16,12,7,7,4,9,2,2,8,3,0,15,2,6,6,9,19,4,12,15,0,0,4,7,11,9,19,9,15,10,2,0,1,0,10,10,6,6,4,5,5,4,24,1,9,6,6,5,3,5,7,9,4,1,14,0,2,39,0,2,2,3,7,3,0,0,8,17,4
"Ant620",0,0,0,0,2,10,21,14,3,20,12,0,23,2,18,20,15,0,4,5,0,0,24,13,0,13,0,0,1,10,0,0,18,1,0,1,0,0,4,2,0,12,3,1,16,1,10,0,3,0,17,11,1,5,0,17,1,0,6,2,2,0,0,1,0,0,10,23,14,4,3,4,14,3,0
"Ant13",0,0,5,7,1,0,3,1,0,0,3,22,13,1,25,2,2,4,0,0,7,3,7,1,0,9,0,11,5,16,7,1,5,0,4,1,14,0,0,4,3,11,0,0,7,1,4,0,15,0,4,5,8,3,1,3,14,10,2,1,0,0,16,12,6,2,0,2,6,2,0,0,8,4,1
"Ant27",5,4,3,5,0,6,2,5,8,5,3,3,6,0,6,6,6,5,0,0,1,9,9,5,1,11,0,2,6,26,0,4,10,1,5,4,0,0,4,0,1,12,0,1,3,3,0,0,13,0,14,1,2,3,1,3,3,4,0,12,1,0,2,1,0,0,2,3,0,2,3,0,0,0,1
"Ant29",2,0,55,11,2,0,3,0,0,2,0,12,1,0,6,4,6,0,7,1,0,24,2,1,0,20,0,3,0,9,4,0,5,1,1,1,3,0,0,19,0,19,0,0,2,0,0,1,6,1,19,0,3,3,13,1,13,4,2,3,1,0,10,1,10,4,0,1,0,0,0,0,5,0,0
"Ant32",10,9,11,10,0,0,0,1,0,1,1,20,1,0,1,1,9,0,3,9,24,0,17,2,2,0,2,6,0,7,0,2,6,0,26,0,22,0,4,1,0,4,2,0,0,5,0,2,4,0,47,0,5,9,7,2,6,6,0,5,0,1,18,5,8,0,2,0,4,2,9,0,2,0,0
"Ant42",1,14,13,2,3,14,3,11,3,9,1,6,7,1,9,10,19,24,7,9,2,17,0,21,3,5,5,0,13,7,16,14,6,10,7,15,2,0,5,2,10,8,1,0,0,9,2,0,2,2,9,2,0,5,0,0,5,5,0,10,2,0,4,4,3,3,7,2,7,4,4,0,4,6,5
"Ant43",3,0,0,3,10,10,6,5,14,3,11,7,5,1,0,7,4,13,1,5,1,2,21,0,2,7,0,0,3,6,1,4,11,1,3,9,0,0,5,3,12,2,0,0,4,3,3,0,2,6,15,20,1,4,1,5,0,4,0,1,1,0,6,1,4,4,1,35,1,0,5,0,4,4,3
