"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant73","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552","Ant593"
"Ant4",0,21,3,18,0,0,7,0,0,12,0,6,1,0,1,0,0,0,7,7,6,3,0,2,0,1,0,50,0,3,7,1,1,0,0,0,1,0,8,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,9,0,0,0,0,23,8,0,0,0,0,4,0,0,0,0,0,0
"Ant260",21,0,13,6,0,0,5,1,0,11,18,2,0,1,0,0,0,0,3,0,8,0,0,0,0,2,0,17,0,16,17,0,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,9,0,3,0,1,0,1,0,0,2,1,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,1
"Ant52",3,13,0,28,0,1,1,0,0,0,7,8,1,0,13,1,2,0,1,13,1,14,10,6,4,5,0,10,0,24,11,11,14,5,8,1,0,0,10,0,6,0,0,0,0,0,0,0,24,0,23,4,2,10,19,1,1,4,0,3,4,0,3,4,3,2,0,5,0,0,3,0,4,4,1
"Ant540",18,6,28,0,0,0,0,0,0,3,0,16,1,0,2,3,0,0,4,8,6,1,1,3,1,1,0,14,0,14,2,5,0,0,0,0,20,0,2,5,0,0,0,0,0,0,2,1,0,0,2,4,19,6,18,0,3,4,0,1,1,0,0,5,10,0,0,1,0,0,8,0,3,0,1
"Ant6",0,0,0,0,0,6,1,0,14,3,0,0,2,36,3,0,4,11,1,3,0,0,3,5,36,7,16,0,4,5,11,2,10,16,1,10,1,0,0,3,57,0,34,18,9,38,9,16,7,14,2,2,1,1,0,16,0,2,2,2,30,21,0,6,0,42,39,15,1,22,4,8,2,8,11
"Ant26",0,0,1,0,6,0,3,1,1,1,4,1,4,1,2,7,9,15,1,4,0,11,8,5,11,11,0,0,13,13,2,9,11,5,0,2,1,0,3,1,3,3,1,0,4,5,10,1,14,2,1,2,0,4,4,16,1,4,4,20,6,6,0,2,3,9,1,9,4,5,10,0,6,13,0
"Ant30",7,5,1,0,1,3,0,1,0,0,0,3,1,0,10,4,8,0,0,2,5,11,3,6,0,4,0,8,0,5,0,1,5,0,3,1,7,0,4,4,1,5,0,0,1,0,3,0,11,0,5,12,1,0,5,1,0,1,0,3,0,0,2,0,3,0,0,0,0,0,8,0,3,0,0
"Ant38",0,1,0,0,0,1,1,0,1,0,12,1,10,5,3,4,2,11,0,0,0,0,9,4,0,4,0,0,15,7,1,2,20,5,0,4,1,0,0,3,5,2,0,5,15,14,8,0,8,0,1,16,3,6,2,4,2,2,1,10,8,1,3,1,0,3,0,4,1,8,2,12,14,4,0
"Ant73",0,0,0,0,14,1,0,1,0,0,5,0,0,23,0,0,0,4,0,0,0,0,0,2,36,4,8,0,0,0,1,0,2,21,0,1,0,5,1,3,23,0,43,7,0,13,0,22,0,14,0,0,0,0,0,13,0,1,0,0,0,40,0,4,0,55,35,2,0,8,0,13,1,1,35
"Ant148",12,11,0,3,3,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,22,6,0,0,0,1,0,51,2,5,4,1,13,2,5,1,0,0,3,4,0,1,0,0,13,1,0,4,2,0,3,2,3,2,4,0,0,3,1,1,2,0,11,4,0,0,0,0,4,0,0,0,11,0,0
"Ant158",0,18,7,0,0,4,0,12,5,0,0,3,6,3,6,1,4,20,1,5,0,2,3,6,16,15,0,0,1,5,2,6,8,6,6,3,1,0,0,5,1,7,3,0,2,1,5,1,10,1,13,10,3,8,3,2,2,5,1,7,3,1,1,0,9,6,1,6,14,5,5,0,2,10,0
"Ant191",6,2,8,16,0,1,3,1,0,1,3,0,0,0,3,6,8,0,2,8,3,5,1,0,0,4,0,27,0,7,0,4,1,0,3,0,21,0,2,6,0,8,0,0,4,0,1,0,1,0,18,1,31,3,5,0,0,1,0,0,2,0,13,2,10,0,0,0,1,0,0,0,12,0,0
"Ant196",1,0,1,1,2,4,1,10,0,0,6,0,0,0,3,6,3,3,0,1,1,2,2,3,3,6,0,0,10,5,0,12,21,2,0,4,0,0,4,0,0,0,2,2,10,5,11,1,12,0,7,12,4,2,2,1,4,4,3,21,9,1,0,6,0,1,0,1,14,1,7,3,17,4,0
"Ant202",0,1,0,0,36,1,0,5,23,0,3,0,0,0,2,2,6,0,0,0,0,0,0,0,15,3,36,2,2,3,4,2,6,36,0,3,0,5,2,1,45,1,31,13,0,26,0,38,0,25,0,0,0,0,0,27,0,0,1,0,9,30,0,5,0,51,36,7,1,22,0,29,1,7,41
"Ant209",1,0,13,2,3,2,10,3,0,0,6,3,3,2,0,1,3,0,5,7,9,11,4,8,0,14,0,2,5,2,18,6,5,0,13,2,6,0,10,1,5,5,1,0,0,3,1,0,14,0,15,3,5,17,6,5,7,7,1,8,2,0,2,32,7,10,2,4,8,3,19,0,1,8,0
"Ant268",0,0,1,3,0,7,4,4,0,3,1,6,6,2,1,0,9,5,6,2,1,1,5,1,0,5,0,4,9,2,15,7,23,1,7,1,1,0,4,5,5,0,0,2,6,2,5,1,6,0,2,8,8,2,0,9,1,14,0,14,6,0,0,9,1,2,0,2,14,3,4,0,32,1,1
"Ant308",0,0,2,0,4,9,8,2,0,0,4,8,3,6,3,9,0,6,0,6,3,3,8,5,6,8,0,0,2,18,16,9,11,11,9,1,3,0,3,8,6,4,3,3,10,1,12,0,9,4,3,7,3,13,3,2,2,3,0,9,9,5,0,4,0,3,0,8,3,1,0,0,21,4,2
